origin,Travel Mangroove Forests,Apartemen Taman Melati,Waduk Setia Budi Timur,Aqua Fun,Jalan Pantai Karnaval Ancol,Key Park ( butterfly and rabbits),National Monument,Komodo Indonesian Fauna Museum and Reptile Park,Antara Gallery of Photo Journalism,Museum Of M. H. Thamrin,Taman Bmw,Museum Kehutanan Manggala Wanabakti,Allianz Eco Park,Al-Bina Mosque,Pancasila Sakti Monument,Taman Dadap Merah,Satriamandala Museum,Formulation of Proclamation Text Museum,Tugu Kunstkring Paleis,Irian Jaya Liberation Monument,National History Museum,Bentara Budaya Jakarta,Grand General Dr. A. H. Nasution Memorial Museum,Mausoleum OG Khouw,Taman Langsat,Proclamation of Independence Monument,Port of Tanjung Priok,National Museum,Museum Bank Indonesia,Taman Kodok Menteng,Palm Bay Water Park,CX WATER PARK,Tabebuya Park,Theater Garuda Taman Bhinneka Tunggal Ika,Jalan Jaksa,Musholla Pasar Malam CNI,Trans Snow World Juanda,Tribeca Park,Taman Maju Bersama,Taman Impian Jaya Ancol,Sea World Ancol,Sion Church,Situ Pamulang,Cibubur Park,Museum Perangko Indonesia,Ruang Pameran Mobil Antik Museum Joang 45,Taman Prasasti Museum,Museum Layang-layang Indonesia,Merdeka Square Jakarta,SS Waterpark TMII,Srengseng City Forest,Putri Duyung Waterpark,Pondok Indah Water Park,Ancol Beach Pool,Bridge of Love Taruma Jaya,Museum of East Timor,Art:1 New Museum,Taman Burung TMII,Taman Spatodhea,Basoeki Abdullah Museum,Museum Telekomunikasi,Universitas Indonesia - Danau Kenanga,East Java Pavilion,Taman Lapangan Banteng,Waterbom Pantai Indah Kapuk,Museum Kebangkitan Nasional,Museum Polri,Taman Ayodya,Waduk Pluit,Children Zoo,Taman Dukuh,Taman Wisata Alam Mangrove Angke Kapuk,Schmutzer Primate Center,Benteng Heritage Museum,Taman Menteng,Onrust Island,Muara Angke Wildlife Refuge,Church of Maria Bunda Karmel,Masjid Agung At Tin,Ants sculpture JGC,Museum Olahraga TMII,Taman Rusa Kemang Pratama,Parks Agro Tourism Cilangkap,Taman Pandang Istana,Sangga Buana,Kastil Batavia,Atlantis Water Adventure,Tugu Tani,Taman Buaya Tanjung Pasir,Pasar Seni,Nurul Iman Mosque Blok M Square,GREEN LAKE VIEW WATERPARK,Taman Suropati,Yerushalayim Bible Artefacts Museum,Hutan Kota Patriot Bina Bangsa Kota Bekasi,GO! Splash waterpark,Taman O,Kosan Muslimah Taman Cempaka,Museum of Fine Art and Ceramics,Museum of Textile,Waterpark Transera,Ragunan Zoo,Hutan Kota GBK,Setu Asih Pulo,Salihara Arts Center,Monas Dancing Fountain,Monumen Patung Dirgantara,Central Java Pavilion,Museum Sumpah Pemuda,Taman Potret,Setu Pedongkelan,Ocean Dream Samudra - Ancol,COMO Park,Eldorado Waterpark Legenda Wisata,Situ Gede Tangerang,Taman Swakarsa,Taman Gajah Tunggal,Taman Wisata Pasir Putih,Taman Mini Indonesia Indah,Taman Tangkuban Perahu,SnowBay Waterpark TMII,Dharma Bhakti Temple,Merdeka Palace,Venetian Water Carnaval,Taman Pemuda Pratama,skyrink Jakarta - Mall Taman Anggrek,Wayang Museum,Pondok Zidane,Sirkus Indoor Waterpark,Pelabuhan Perikanan Samudera Nizam Zachman,Taman Lembah Gurame,Taman Gunung Balong,Jakarta History Museum,Dunia Serangga,Pulau Bidadari,Kampung Main Cipulir,Curug Parigi,Sasmita Loka Ahmad Yani Museum,Taman Waduk Pluit,Taman Kota "Cattleya",Jakarta Planetarium,Masjid Al-Bakrie Taman Rasuna Jakarta,IMAGISPACE,Kidzania Jakarta,Setu Babakan,Taman Ria Atmaja,Playparq Kemang,Arina WaterPark,Museum Reksa Artha,Bartele Gallery,Taman Sepat,GONDOLA ANCOL STASIUN C,Dinosaur Adventure,Aditya Jaya Temple,Museum Pusaka,Danau Hutan Kota Kemayoran,Bayt Al Quran dan Museum Istiqlal,Taman Budaya Tionghoa,Danau Sunter Barat,Museum Keprajuritan Indonesia,Planetarium skyworld tmii,HUTAN KOTA WADUK CINCIN,Pasar Barang Antik,Indonesia Museum,Purna Bhakti Pertiwi Museum,Galeria Sophilia,Depok Fantasi Waterpark - Aladdin,JPG MTB PARK (MTB MEETING POINT) Jalur Pipa Gas MTB Community,Pesona Aquarium Kebagusan,Jakarta Cathedral,Taman Situ Lembang,Museum MACAN (Modern and Contemporary Art in Nusantara),Mangrove Ecotourism Centre PIK,Jakarta Bahari Museum,Pura Agung Tirta Bhuana Bekasi,National Gallery of Indonesia,Dunia Fantasi,Museum Listrik & Energi Baru TMII,Akili Museum of Art,Sarmiento Parakantja Timber,Jalan Gedung Kesenian,Taman Puring Market,Nofri kasur,Marunda Beach,Museum Transportasi,Pusat Peragaan Iptek - Kemenristekdikti,Kandank Jurank Doank,Taman Elektrik,Taman Ismail Marzuki,Dia.lo.gue,Boen Tek Bio Chinese Temple,Air Mancur Waduk Grogol,Istiqlal Mosque,Trans Studio Theme Park Cibubur,Taman Herbal Insani,UI Park,Museum Mandiri,Akses Hutan Lindung Angke Kapuk,Selamat Datang Monument,Jakarta,Pusat Kebudayaan Belanda Erasmus Huis,Museum Tragedi 12 Mei 1998 Universitas Trisakti
Arina WaterPark,51454,21833,29525,51373,52698,30143,30315,30291,41057,43339,54734,26336,50462,23704,32393,20009,26757,29361,29936,41404,1296386,24299,28881,26187,20468,42868,54177,29463,43769,29684,36476,30159,16317,29308,29781,30174,49386,37150,30924,48840,51348,46229,7766,36418,29947,30685,39630,14970,29749,29479,28432,12873,17313,51832,67496,3112438,51161,31663,18482,16641,28254,24692,800500,41647,40325,31241,23615,20641,45545,20792,27177,38334,17850,31766,28141,47376,41779,33175,30049,54614,28109,41113,34175,40674,1613714,47396,50969,30068,54793,1651181,21368,26450,28746,49033,45912,60068,31404,31917,44748,27468,56656,17548,23549,15112,21619,29774,28207,29782,43984,29663,25667,51143,20820,45824,31374,45025,29894,15037,27998,29371,28172,42203,1736331,52691,14827,37442,44071,14846,34443,48345,16826,15458,44038,30309,47376,25959,39617,29405,45971,27901,29976,32055,19679,25439,19367,29818,22059,0,15631,27388,23245,51242,30159,41721,30282,54025,30364,30145,45722,30259,28746,54525,29864,28158,27455,43412,21131,11772,21084,41530,29464,30784,40933,46849,42916,42334,49704,29911,35381,1158753,41092,20812,-1,62014,29807,29989,10953,33651,30314,21158,31695,41051,41652,35198,10552,24919,43720,40461,27439,31600,26016,38023
Museum Reksa Artha,37755,17767,16295,37674,38999,30472,17084,14652,27358,27699,41034,13369,36763,12085,16754,7361,11110,15243,16706,18513,1280746,12680,15650,14568,6497,27229,38538,16232,30070,16454,22777,14520,7087,13669,16550,16475,33747,23451,15285,35141,37649,32530,10071,20778,14308,17454,17303,1687,16519,13840,14733,20127,5068,38133,51857,3096799,37462,16024,6428,1010,12614,16886,784861,18516,26626,18011,7969,5967,31846,5153,11537,24635,4407,32096,14910,33677,28080,19476,14409,38975,12469,25474,18536,18739,1598075,33697,37270,16837,41094,1635542,6058,26550,15515,33394,30272,44429,15765,16278,31049,15849,41017,4105,10319,17442,5980,16544,12567,14143,28344,29993,17286,37444,5180,30185,31704,29385,30224,20149,12358,15725,12533,28504,1720692,37052,12195,23743,30372,21562,18804,34646,15094,1810,30339,14670,33677,12260,23978,15440,32272,16282,16745,13947,8060,9793,11073,14179,6420,17027,0,14157,7606,37543,14520,26081,14643,40326,14725,14506,30083,14620,13107,33846,16634,12519,11815,31945,22769,21601,5444,27831,16233,17085,27233,33150,27277,19203,36005,14271,21682,1143114,27393,6892,-1,46375,14168,14350,15851,29430,17083,4718,32025,27352,18435,19559,23354,17113,30021,26762,14208,27877,10370,24323
Bartele Gallery,36328,24104,3016,22462,23786,31744,5408,21155,7347,5470,13708,6061,21550,6695,20277,20806,6646,2068,3797,6837,1271830,6894,2741,6694,7170,4746,29621,4556,9061,3008,24514,22512,17398,20172,4874,16332,30483,9512,22778,19928,22436,11521,23155,28089,20811,5778,5627,15599,4843,20343,11036,30439,11057,22920,32867,3093658,10691,20280,19279,14068,19140,23224,781720,6840,19936,6335,5997,7616,17605,15656,19204,22480,17363,33368,3234,32251,20935,13514,17940,35928,18995,27859,26029,7062,1594933,18484,22057,4205,39668,1626625,7134,33862,2070,17270,27009,41165,26968,23771,10040,6054,37970,15519,6039,27754,11948,4868,7552,20646,6115,31265,27667,22231,10149,37496,32976,21297,31496,30460,18159,2387,19036,8537,1717550,33788,22506,9804,9363,31873,26297,20405,25406,15722,9330,21173,32251,10769,33441,2265,18031,8399,3836,5858,9278,3821,23716,20682,8909,30112,14009,0,25883,22330,21023,9968,21146,25113,18255,21009,12699,21123,19197,15169,3586,19022,18318,9702,39867,27783,15948,7819,2788,13400,19102,17938,22560,7527,20792,20774,15163,1139972,7382,7282,-1,27385,20671,20853,22033,31167,4174,10658,33297,13431,6759,26870,36439,23451,9012,24607,2532,4616,5855,10403
Taman Sepat,43836,16475,15237,31679,33003,36553,19177,13356,21115,15486,35039,15289,30767,15922,15459,2763,11312,14572,15463,20606,1279451,16122,14862,15921,14924,13795,37243,18324,25372,15269,28858,13224,4758,12374,18643,22556,32451,18729,13990,29145,31653,27832,16146,19483,13013,19547,19395,8601,18611,12544,20814,23404,11769,32137,50562,3095504,31467,14729,2548,7070,11319,15594,783566,20609,32706,20103,10552,12027,26822,3772,10242,30716,5156,38177,17003,39758,34161,22731,13114,37680,11174,24178,17241,20831,1596779,27701,31274,15951,47175,1634246,12118,25255,14493,32099,28977,43134,13396,14983,26350,17202,39721,1299,15446,20719,4793,18636,8239,12847,16131,36074,15994,31448,5290,28889,37785,22090,36305,23426,11063,13934,11238,25464,1719396,35757,15472,19021,25673,24839,17508,29622,12332,8724,25641,13374,39758,18341,22682,14134,27248,17616,15503,12088,14135,13227,7429,12884,6530,23102,7011,16250,0,31547,13224,24786,13348,34331,13430,13211,28787,13325,11812,32551,14416,11224,10520,30650,21477,27682,4063,21588,14416,23166,33314,27155,25981,21296,30009,12976,27763,1141818,21151,15268,-1,45080,12873,13054,21932,35511,15841,5629,38106,22648,20527,18264,29429,15821,25323,32843,16301,13665,10563,19620
GONDOLA ANCOL STASIUN C,31342,42961,13816,1842,3443,40245,9916,30546,9267,12047,4382,18960,410,21741,29668,38384,23900,20239,11476,8358,1252542,19785,12413,18342,24615,18353,10333,11777,5427,13029,23575,31903,42427,29563,12471,24332,39981,15233,32169,2859,658,6097,43729,37480,30202,10936,10770,40664,10563,29734,21252,55467,26197,2301,23706,3103156,7485,29671,38169,38522,28531,42080,791217,8991,14950,10529,23442,25061,7913,37039,28595,17494,38849,32262,12432,27265,15949,19344,27331,21431,28386,37356,35420,10229,1604431,5870,305,10319,34682,1607337,24579,43252,12682,10081,36506,30309,36359,33162,6778,19624,33022,36921,22445,52782,30572,10588,24797,30037,12692,39765,37058,1683,27403,46887,33319,27404,39997,56162,27550,20516,28427,7606,1727048,43286,48398,15525,5728,57575,38155,10384,50238,40787,5696,30564,27265,24521,43081,20770,9157,20110,11483,20825,24418,21267,42573,30073,26163,54243,39074,12977,35274,0,30414,16976,30537,6482,27646,30400,8537,30514,28588,6325,12698,28413,27709,7705,49258,46359,37330,8484,12869,19230,14116,6805,31419,9678,1569,30165,26468,1149470,8047,24727,-1,18224,30062,30244,40610,30364,11821,27912,32346,11824,8607,36261,57013,42307,5378,19621,12798,19001,23110,16106
Dinosaur Adventure,51135,18196,22599,30883,32208,43852,25401,2324,25079,20955,26338,21513,31464,22147,7530,13620,17527,22370,23080,24003,1274002,22346,22224,22146,22223,20485,31794,24549,31597,22885,36157,6520,17662,1341,24868,29855,23070,24954,4589,31530,31160,34512,23444,12894,1981,23522,25620,15900,24836,1512,28113,30703,19068,31342,41180,3086122,27844,5329,13405,14368,606,17315,774184,24006,40005,22909,21627,19326,33047,12274,6676,38015,14085,45476,23227,47057,36377,28956,7665,28298,564,14797,7171,25349,1587398,33926,31359,22998,54474,1628797,19417,18666,23832,26650,19596,33752,9843,4714,32575,23427,30340,12156,21670,28018,14575,24861,14465,1815,21600,43372,12293,30653,13787,22300,45084,18709,43604,30724,675,20160,1040,31688,1710015,26375,23811,25246,31898,32137,8127,35847,25652,16023,31866,2342,47057,25639,13301,21848,33473,23841,22944,18313,21434,19452,17808,1851,15026,30401,14310,22475,10509,31054,0,19337,2316,26491,7981,2179,23338,2293,780,27102,22099,673,868,25201,24671,34980,12565,24295,22214,28842,34543,33379,16600,24570,31994,1944,30605,1132437,24468,22912,-1,35698,1841,2022,29231,42810,23282,14125,45405,28872,24418,11675,36728,17543,31548,40142,22525,21132,16778,25844
Aditya Jaya Temple,42271,27835,7562,14834,16159,42735,7800,15420,9023,4899,10287,17062,15415,17696,14542,23259,13076,6314,7024,7947,1257953,17895,6857,17695,18349,4429,15745,9072,12601,6830,35505,16778,27301,14437,9444,27322,24855,20502,17043,15481,15111,12820,33084,22355,15076,7466,9834,25539,9627,14608,22037,40342,24306,15293,26197,3088030,11793,14546,23044,24008,13406,26955,776092,7950,25878,6853,17176,18795,20372,21913,13469,28422,23724,44358,6639,38193,26878,24505,12205,15302,13261,22231,20294,9293,1589305,19810,15310,6942,45610,1612748,18313,28127,6334,10601,21381,35537,21233,18036,20030,18976,16650,21795,17219,37657,15446,9652,10014,14911,5544,42255,21932,14604,16416,31761,43966,12278,42486,41036,12425,6591,13302,12461,1711922,28161,33272,20795,19891,42449,20562,22843,35113,25662,19940,15438,38193,22630,25736,6845,21616,19390,6888,6901,22527,15001,27447,14947,15177,40040,23949,7356,20148,15005,15288,0,15411,10441,12521,15274,7288,15389,13462,11034,6043,13287,12584,9150,34132,44620,22205,8240,6158,24390,25044,19263,16932,8514,15945,15040,26154,1134344,8412,18461,-1,20715,14936,15118,38870,42158,7227,16925,44287,22753,8362,21136,46367,27182,12552,30549,7598,5076,12327,21393
Museum Pusaka,51545,18606,23009,31293,32618,44262,25811,2734,25489,21365,26748,21923,31874,22557,7940,14030,17937,22780,23490,24413,1274412,22756,22634,22556,22633,20895,32204,24959,32007,23296,36567,6930,18072,1751,25278,30265,23480,25364,4999,31940,31570,34922,23854,13304,2391,23932,26030,16310,25246,1922,28523,31113,19478,31752,41590,3086532,28254,5739,13815,14779,1016,17726,774594,24416,40415,23319,22038,19736,33457,12684,7087,38425,14495,45886,23638,47467,36787,29366,8075,28708,974,15207,7581,25759,1587808,34336,31769,23408,54884,1629207,19827,19076,24242,27060,20006,34162,10253,5125,32985,23837,30750,12566,22080,28428,14985,25271,14875,321,22010,43783,12703,31063,14197,22710,45494,19119,44014,31134,1085,20570,1450,32098,1710425,26785,24221,25656,32308,32547,8537,36257,26062,16433,32276,27,47467,26049,13711,22258,33883,24251,23354,18724,21844,19862,18218,2262,15436,30811,14720,22885,10919,31464,410,19747,0,26901,8391,2589,23748,2703,1190,27512,22509,1083,1278,25611,25081,35390,12976,24706,22624,29252,34953,33789,17010,24980,32404,2354,31015,1132847,24878,23322,-1,36108,2251,2432,29641,43220,23693,14535,45815,29282,24828,12085,37138,17953,31958,40552,22935,21542,17188,26254
Danau Hutan Kota Kemayoran,33768,39051,11858,6699,7756,42671,8876,26636,8227,9755,3301,21386,7280,24166,25759,34475,26326,12383,9518,7318,1252762,22211,10455,20768,27041,10498,10554,10737,9233,11071,26001,27994,37269,25653,11430,26758,36071,17659,28259,7810,6976,7975,46155,33571,26293,8978,9730,35470,9523,25824,23678,50310,28623,7158,23926,3099246,4532,25762,34260,40948,24622,38171,787308,7950,17376,7576,25868,27487,11869,33129,24685,19920,34940,34688,10474,29690,18375,21770,23421,21652,24477,33447,31510,9189,1600522,11307,7174,8454,37107,1607557,27005,39343,10724,9331,32597,30529,32449,29252,11528,12659,22588,33012,24870,47625,32803,9548,27223,26127,10400,42191,33148,6468,29829,42977,35745,23494,42422,50331,23641,12660,24518,9092,1723139,39377,44488,17951,11389,51744,41427,14341,46329,35593,11437,26654,29690,26946,46352,11579,13114,22536,9525,12970,26844,23692,38663,26164,28589,56668,33880,11937,31365,6870,26504,13061,26628,0,23737,26491,4341,26605,24678,4762,10740,24503,23800,4751,45348,48785,33421,7444,10910,21656,16541,10761,34690,8637,8275,26256,28894,1145560,7006,27153,-1,18444,26153,26334,43035,32790,9863,30338,34772,14250,7566,32352,59439,38398,9184,22047,11758,11146,25536,12388
Bayt Al Quran dan Museum Istiqlal,49930,16992,19846,28131,29455,42648,22649,3861,22326,18202,23585,18761,28711,19394,4076,12416,14775,19617,20327,21250,1271250,19594,19472,19393,20048,17732,29041,21796,28844,20133,34953,5218,16458,2878,22115,29021,23969,22201,4351,28777,28408,31759,22240,13737,3517,20769,22867,14695,22083,3049,26909,29498,17864,28589,42079,3087022,25091,2591,12200,13164,1846,16111,775083,21253,32625,20157,18875,18122,30294,11070,5375,36810,12880,44271,20475,45853,33625,26203,362,29197,1701,15696,6932,22596,1588297,31174,28606,20245,53270,1626045,20012,19509,21080,23897,20495,34651,9604,5614,29822,20674,31239,10952,18918,26813,13371,22108,11712,3352,18848,42168,11096,27900,12583,23143,43880,19608,42400,29520,865,17407,1742,28936,1710914,27274,24654,22493,29145,30933,9026,33094,26495,14819,29113,3879,45853,24435,14200,19096,30720,21088,20192,15561,20230,16700,16604,3388,13822,29197,13105,19722,9305,28302,3729,16585,3852,23739,0,3715,20586,3829,1507,24350,19346,1728,289,22448,25514,33776,11361,21543,19461,26089,31791,30627,17499,21818,29242,3480,27852,1133336,21716,20160,-1,36598,3377,3559,28027,41606,20530,12921,44201,26120,21665,12518,35524,16338,28795,38937,19773,18380,14025,23092
Taman Budaya Tionghoa,52134,19195,23598,31882,33207,44851,26400,223,26078,21954,27337,22512,32463,23146,8529,14619,18526,23369,24079,25002,1275001,23345,23223,23145,23222,21484,32793,25548,32595,23884,37156,7519,18661,758,25866,30854,24069,25953,5588,32529,32159,35511,24443,13893,264,24521,26619,16898,25835,929,29112,31702,20067,32341,42179,3087121,28843,6327,14403,15367,1605,18314,775183,25005,41004,23908,22626,20325,34046,13273,7675,39014,15084,46474,24226,48056,37376,29955,8664,29297,1563,15796,8170,26348,1588397,34925,32358,23997,55473,1629796,20416,19665,24831,27649,20595,34751,10842,5713,33574,24426,31339,13155,22669,29017,15574,25860,15464,806,22599,44371,13292,31651,14786,23299,46083,19708,44603,31723,1674,21159,2038,32687,1711014,27374,24810,26245,32897,33136,9126,36846,26651,17022,32865,982,48056,26638,14300,22847,34472,24840,23943,19312,22433,20451,18807,1268,16025,31400,15308,23473,11508,32053,999,20336,955,27490,8980,0,24337,932,1779,28101,23098,1672,1867,26200,25670,35979,13564,25294,23213,29841,35542,34378,17599,25569,32993,881,31604,1133436,25467,23911,-1,36697,480,408,30230,43809,24281,15124,46404,29871,25417,12674,37727,18541,32546,41141,23524,22131,17777,26843
Danau Sunter Barat,34920,35213,13733,7851,8908,34796,8195,22798,7546,8423,4072,22538,8432,25319,21921,30637,20454,12485,9755,6637,1253534,23364,10692,21920,18300,10600,11325,10056,8082,11308,27154,24156,34680,21816,10749,27910,32233,12489,24421,7982,8128,8301,40462,29733,22455,9215,9049,32917,8842,21986,18474,47720,29775,8310,22752,3095408,5684,21924,30422,31386,20784,34333,783470,7269,18528,6243,17128,18747,13021,29291,20847,21072,31102,35840,10711,30843,19528,16566,19583,17401,20639,29609,27672,8508,1596684,12460,8327,8598,38260,1608329,18265,35505,10961,7152,28759,29355,28611,25415,9060,11978,18750,29174,17170,45035,22824,8867,17392,22289,9068,34317,29310,7621,23794,39139,36898,19657,34548,48415,19803,12762,20680,7941,1719301,35539,40650,12781,8383,49828,27940,15493,42491,33040,8351,22816,30843,28099,33114,13016,14266,23688,9762,13072,27996,14952,34825,22326,22555,47418,31327,11256,27527,8022,22666,9223,22790,4226,19899,22653,0,22767,20840,5533,10977,20666,19962,3600,41510,49937,29583,6763,11147,16452,17694,11913,30428,7956,8447,22418,18215,1141723,6325,18413,-1,17270,22315,22496,44188,33942,10100,24303,35924,15403,6885,28514,53745,34560,8033,23199,11077,11247,19705,11707
Museum Keprajuritan Indonesia,51916,18977,23381,31665,32990,44634,26183,3106,25860,21737,27120,22295,32246,22928,8312,14401,18309,23151,23862,24784,1274784,23128,23006,22927,23004,21266,32575,25331,32378,23667,36938,7301,18444,2123,25649,30637,23851,25735,5371,32311,31942,35294,24226,13676,2762,24303,26402,16681,25617,2294,28895,31484,19849,32123,41962,3086904,28625,6110,14186,15150,1387,18097,774966,24787,40787,23691,22409,20108,33829,13055,7458,38796,14866,46257,24009,47839,37159,29738,8447,29080,1346,15578,7953,26130,1588179,34708,32140,23779,55255,1629579,20198,19448,24614,27431,20377,34534,10624,5496,33357,24209,31121,12938,22452,28799,15357,25642,15247,589,22382,44154,13074,31434,14568,23082,45865,19490,44385,31506,1457,20941,1821,32470,1710796,27157,24593,26028,32680,32919,8909,36629,26433,16804,32647,764,47839,26421,14083,22630,34254,24622,23726,19095,22215,20234,18589,2633,15808,31182,15091,23256,11291,31836,782,20119,738,27273,8762,2960,24120,0,1561,27884,22881,1454,1650,25983,25453,35762,13347,25077,22995,29623,35325,34161,17381,25352,32776,2725,31387,1133218,25250,23694,-1,36480,2622,2804,30013,43591,24064,14907,46187,29654,25200,12456,37510,18324,32329,40923,23307,21914,17560,26626
Planetarium skyworld tmii,52724,19785,24188,32473,33797,45441,26990,1729,26668,22544,27927,23102,33053,23736,9119,15209,19117,23959,24669,25592,1275591,23935,23813,23735,23812,22074,33383,26138,33186,24475,37746,7029,19251,747,26457,31444,24659,26543,6179,33119,32749,36101,25034,14483,1386,25111,27209,17489,26425,917,29702,32292,20657,32931,42770,3087712,29433,6918,14994,15958,2207,18905,775773,25595,41594,24498,23217,20915,34636,13863,7185,39604,15674,47065,24817,48646,37966,30545,7741,29887,2153,16386,8760,26938,1588987,35515,32948,24587,56063,1630386,21006,20255,25421,28239,21185,35341,11432,6304,34164,25016,31929,13745,23259,29607,16165,26450,16054,1220,23189,44962,13882,32242,15376,23889,46673,20298,45193,32314,2159,21749,2532,33278,1711604,27965,25401,26835,33487,33727,9716,37436,27241,17612,33455,1747,48646,27229,14890,23438,35062,25430,24533,19903,23023,21041,19397,1257,16616,31990,15899,24064,12098,32643,1597,20926,1721,28081,8056,1584,24928,1698,0,28691,23688,2120,2360,26790,26261,36570,14155,25885,23803,30431,36132,34969,18189,26160,33584,1349,32194,1134026,26057,24502,-1,37288,1246,1427,30820,44399,24872,15714,46994,30462,26007,13264,38317,19132,33137,41731,24115,22722,18367,27434
HUTAN KOTA WADUK CINCIN,33242,40565,19091,5793,7117,42145,11109,28150,10460,16428,3007,20860,6373,23640,27272,35989,25806,17843,12109,9551,1249211,21685,13046,20242,26515,15958,7003,12971,9032,18358,25475,29507,40031,27167,13664,26232,37585,17133,29773,6439,6069,9421,45813,35085,27806,11569,11964,38268,11756,27338,23152,53072,28097,6251,19805,3100760,7123,27275,35774,36737,26136,39684,788822,10184,16850,10166,25342,26961,11343,34643,26199,19394,36454,34162,18168,29165,17849,21244,24935,17530,25991,34961,33024,11422,1602035,9476,6268,11512,36582,1604007,26479,40857,17863,7149,34111,26408,33963,30766,11002,21523,21313,34525,24345,50387,28176,11781,22743,27641,17073,41665,34662,5562,29146,44491,35219,25008,41896,53766,25155,18120,26031,10856,1724652,40890,46002,17425,9334,55179,33292,13815,47842,38392,9301,28168,29165,26420,37119,18374,12588,22010,12116,18429,26318,23167,40177,27677,27906,52770,36679,14171,32878,5963,28018,14581,28141,5201,25250,28004,5891,28118,26192,0,17572,26017,25314,6515,46862,48259,34934,9677,17687,21130,16015,10235,25457,10871,6904,27770,28368,1147074,9240,26627,-1,14323,27666,27848,42509,32264,12454,29655,34246,13724,9800,33865,59097,39911,8983,21521,13991,16605,25056,18006
Pasar Barang Antik,38355,22161,2469,11625,13064,33770,3270,20495,5119,2134,11047,8087,10408,8721,19618,20985,7959,1220,2112,4537,1261287,8920,2000,8720,9196,1537,19078,4528,8738,1917,26541,21853,19424,19513,4435,18358,29930,11538,22118,9186,11901,10055,25181,27430,20152,4701,5304,17625,4815,19684,13063,32465,13083,12083,29531,3093105,8029,19621,21306,16094,18481,21281,781167,4540,21962,4088,8023,9642,19632,14282,18544,24506,15666,35394,1726,34277,22962,15541,17280,19029,18336,27306,25369,4763,1594381,10154,10769,2600,41694,1616082,9160,33202,1241,13934,26456,40613,26308,23112,9717,6027,20378,14145,8066,29780,12433,4840,5609,19986,2779,33291,27007,11394,10634,36836,35002,15195,33522,32486,17500,1873,18377,8214,1716998,33236,24532,11831,9040,33899,25637,22432,27432,17748,9007,20513,34277,12795,30811,1751,20057,10425,2151,3501,11304,5848,21773,20023,9394,32138,16035,2263,25224,11795,20363,6632,20487,10823,17596,20350,10621,20464,18537,14367,0,18363,17659,7040,39207,29809,14573,5475,1064,15426,21128,19964,18084,5750,9650,20115,17190,1139420,5155,9308,-1,24049,20012,20193,24060,33194,2489,11136,35323,15457,4459,26211,38465,21508,8689,26633,2505,2551,6376,12429
Indonesia Museum,51292,18353,22756,31041,32365,44009,25558,2133,25236,21112,26495,21670,31621,22304,7687,13777,17685,22527,23237,24160,1274159,22503,22382,22303,22380,20642,31951,24706,31754,23043,36314,5449,17819,1150,25025,30012,23227,25111,4747,31687,31317,34669,23602,13051,1789,23679,25777,16057,24993,1321,28270,30860,19225,31499,41338,3086280,28001,5486,13562,14526,627,17473,774342,24163,40162,23066,21785,19483,33204,12431,5606,38172,14242,45633,23385,47214,36534,29113,6161,28455,721,14954,7328,25506,1587555,34083,31516,23155,54631,1628954,19574,18823,23989,26807,19753,33909,10000,4872,32732,23584,30497,12313,21827,28175,14733,25018,14622,1624,21757,43530,12450,30810,13944,22457,45241,18866,43761,30882,443,20317,952,31846,1710172,26533,23969,25403,32055,32295,8284,36004,25809,16180,32023,2151,47214,25797,13458,22006,33630,23998,23101,18471,21591,19609,17965,1660,15184,30558,14467,22632,10667,31212,2001,19494,2124,26649,6477,1987,23496,2101,588,27259,22256,0,781,25358,24829,35138,12723,24453,22371,28999,34701,33537,16757,24728,32152,1752,30762,1132594,24625,23070,-1,35856,1649,1831,29388,42967,23440,14282,45562,29030,24575,11832,36885,17700,31705,40299,22683,21290,16935,26002
Purna Bhakti Pertiwi Museum,49641,16702,19557,27841,29166,42358,22359,2409,22037,17913,23296,18471,28422,19105,4603,12126,14485,19328,20038,20961,1270960,19304,19182,19104,19758,17443,28752,21507,28555,19843,34663,4929,16169,1426,21826,28732,23680,21912,4061,28488,28118,31470,21951,13448,2065,20480,22578,14406,21794,1597,26619,29209,17574,28300,41790,3086732,24802,5938,11911,12875,579,15822,774794,20964,32336,19867,18586,17832,30005,10780,5086,36521,12591,43982,20185,45563,33335,25914,73,28908,669,15407,6643,22307,1588008,30884,28317,19956,52980,1625755,19722,19220,20790,23608,20205,34362,9315,5324,29533,20385,30950,10663,18628,26524,13082,21819,11423,1900,18558,41879,10807,27611,12293,22854,43590,19318,42110,29231,489,17118,171,28646,1710625,26985,24365,22204,28856,30644,8737,32805,26205,14529,28824,2427,45563,24146,13911,18806,30431,20799,19902,15272,19940,16410,16314,1936,13533,28907,12816,19433,9016,28012,2277,16295,2400,23449,590,2263,20296,2377,678,24060,19057,340,0,22159,25225,33487,11072,21253,19172,25800,31501,30337,17210,21528,28952,2028,27563,1133047,21426,19870,-1,36308,1925,2107,27737,41316,20241,12631,43911,25830,21376,12228,35234,16049,28506,38648,19483,18090,13736,22802
